"entity-id","slug","name","repository","resolved-repository","stored-license","detected-license","decision","evidence-path","evidence-url","restricted-signals","reasons"
"res_cline","cline","Cline","cline/cline","cline/cline","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/cline/cline/blob/main/LICENSE","",""
"res_gbrain","gbrain","GBrain","garrytan/gbrain","garrytan/gbrain","MIT","MIT","verified_open_code","LICENSE","https://github.com/garrytan/gbrain/blob/master/LICENSE","",""
"res_open_design","open-design","Open Design","nexu-io/open-design","nexu-io/open-design","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/nexu-io/open-design/blob/main/LICENSE","",""
"res_ecc","ecc","ECC","affaan-m/ECC","affaan-m/ECC","MIT","MIT","verified_open_code","LICENSE","https://github.com/affaan-m/ECC/blob/main/LICENSE","",""
"res_codex_cli","codex-cli","Codex CLI","openai/codex","openai/codex","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/openai/codex/blob/main/LICENSE","",""
"res_kirara_ai","kirara-ai","Kirara AI","lss233/kirara-ai","lss233/kirara-ai","AGPL-3.0","AGPL-3.0","verified_open_code","LICENSE","https://github.com/lss233/kirara-ai/blob/master/LICENSE","",""
"res_agent_browser_protocol","agent-browser-protocol","Agent Browser Protocol","theredsix/agent-browser-protocol","theredsix/agent-browser-protocol","BSD-3-Clause","BSD-3-Clause","verified_open_code","LICENSE","https://github.com/theredsix/agent-browser-protocol/blob/dev/LICENSE","",""
"res_telegram_llm_bot","telegram-llm-bot","Telegram LLM Bot","ma2za/telegram-llm-bot","ma2za/telegram-llm-bot","MIT","MIT","verified_open_code","LICENSE","https://github.com/ma2za/telegram-llm-bot/blob/main/LICENSE","",""
"res_pilotdeck","pilotdeck","PilotDeck","OpenBMB/PilotDeck","OpenBMB/PilotDeck","AGPL-3.0","AGPL-3.0","verified_open_code","LICENSE","https://github.com/OpenBMB/PilotDeck/blob/main/LICENSE","",""
"res_google_adk","google-adk","Google ADK","google/adk-python","google/adk-python","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/google/adk-python/blob/main/LICENSE","",""
"res_agent_rules_books","agent-rules-books","Agent Rules Books","ciembor/agent-rules-books","ciembor/agent-rules-books","MIT","MIT","verified_open_code","LICENSE","https://github.com/ciembor/agent-rules-books/blob/main/LICENSE","",""
"res_gemini_cli","gemini-cli","Gemini CLI","google-gemini/gemini-cli","google-gemini/gemini-cli","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/google-gemini/gemini-cli/blob/main/LICENSE","",""
"res_mem0","mem0","Mem0","mem0ai/mem0","mem0ai/mem0","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/mem0ai/mem0/blob/main/LICENSE","",""
"res_autogen","autogen","AutoGen","microsoft/autogen","microsoft/autogen","CC-BY-4.0","CC-BY-4.0","manual_review","LICENSE","https://github.com/microsoft/autogen/blob/main/LICENSE","","not-approved-for-open-code-automation"
"res_goose","goose","Goose","block/goose","aaif-goose/goose","Apache-2.0","Apache-2.0","manual_review","LICENSE","https://github.com/aaif-goose/goose/blob/main/LICENSE","","repository-redirect"
"res_hugging_face_skills","hugging-face-skills","Hugging Face Skills","huggingface/skills","huggingface/skills","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/huggingface/skills/blob/main/LICENSE","",""
"res_gudastudio_skills","gudastudio-skills","GudaStudio Skills","GuDaStudio/skills","GuDaStudio/skills","MIT","MIT","verified_open_code","LICENSE","https://github.com/GuDaStudio/skills/blob/main/LICENSE","",""
"res_python_whatsapp_bot","python-whatsapp-bot","Python WhatsApp Bot","daveebbelaar/python-whatsapp-bot","daveebbelaar/python-whatsapp-bot","MIT","MIT","verified_open_code","LICENCE.txt","https://github.com/daveebbelaar/python-whatsapp-bot/blob/main/LICENCE.txt","",""
"res_openlore","openlore","OpenLore","clay-good/OpenLore","clay-good/OpenLore","MIT","MIT","verified_open_code","LICENSE","https://github.com/clay-good/OpenLore/blob/main/LICENSE","",""
"res_telegram_ai_agent","telegram-ai-agent","Telegram AI Agent","pavel-molyanov/telegram-ai-agent","pavel-molyanov/telegram-ai-agent","MIT","MIT","verified_open_code","LICENSE","https://github.com/pavel-molyanov/telegram-ai-agent/blob/main/LICENSE","",""
"res_security_skills_claude_code","security-skills-claude-code","Security Skills for Claude Code","Security-Phoenix-demo/security-skills-claude-code","Security-Phoenix-demo/security-skills-claude-code","MIT","MIT","verified_open_code","LICENSE","https://github.com/Security-Phoenix-demo/security-skills-claude-code/blob/main/LICENSE","",""
"res_mda_markdown_agent","mda-markdown-agent","MDA","sno-ai/mda","sno-ai/mda","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/sno-ai/mda/blob/main/LICENSE","",""
"res_browser_use","browser-use","browser-use","browser-use/browser-use","browser-use/browser-use","MIT","MIT","verified_open_code","LICENSE","https://github.com/browser-use/browser-use/blob/main/LICENSE","",""
"res_playwright_mcp","playwright-mcp","Playwright MCP","microsoft/playwright-mcp","microsoft/playwright-mcp","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/microsoft/playwright-mcp/blob/main/LICENSE","",""
"res_rlinf","rlinf","RLinf","RLinf/RLinf","RLinf/RLinf","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/RLinf/RLinf/blob/main/LICENSE","",""
"robotics_unitree_sdk2","unitree-sdk2","Unitree SDK2","unitreerobotics/unitree_sdk2","unitreerobotics/unitree_sdk2","BSD-3-Clause","BSD-3-Clause","verified_open_code","LICENSE","https://github.com/unitreerobotics/unitree_sdk2/blob/main/LICENSE","",""
"res_crawl4ai","crawl4ai","crawl4ai","unclecode/crawl4ai","unclecode/crawl4ai","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/unclecode/crawl4ai/blob/main/LICENSE","",""
"res_llamaindex","llamaindex","LlamaIndex","run-llama/llama_index","run-llama/llama_index","MIT","MIT","verified_open_code","LICENSE","https://github.com/run-llama/llama_index/blob/main/LICENSE","",""
"res_graphiti","graphiti","Graphiti","getzep/graphiti","getzep/graphiti","Apache-2.0","Apache-2.0","verified_open_code","LICENSE","https://github.com/getzep/graphiti/blob/main/LICENSE","",""
"res_skill_seekers","skill-seekers","Skill Seekers","yusufkaraaslan/Skill_Seekers","yusufkaraaslan/Skill_Seekers","MIT","MIT","verified_open_code","LICENSE","https://github.com/yusufkaraaslan/Skill_Seekers/blob/development/LICENSE","",""
