"entity-id","slug","name","repository","resolved-repository","stored-license","detected-license","decision","evidence-kind","evidence-path","evidence-url","restricted-signals","reasons"
"robotics_ros2","ros-2","ROS 2","ros2/ros2","","","","manual_review","github-license-api","","","","license-api-404|license-not-detected|missing-license-evidence-url"
"res_aira","aira","AIRA","robertorobotics/Nextis-AIRA-3D","robertorobotics/Nextis-AIRA-3D","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/robertorobotics/Nextis-AIRA-3D/blob/main/LICENSE","",""
"res_openeai","openeai","OpenEAI","eai-yeslab/OpenEAI-Arm","eai-yeslab/OpenEAI-Arm","BSD-3-Clause","BSD-3-Clause","verified_open_code","github-license-api","LICENSE","https://github.com/eai-yeslab/OpenEAI-Arm/blob/main/LICENSE","",""
"res_ccpoke","ccpoke","ccpoke","kaida-palooza/ccpoke","kaida-palooza/ccpoke","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/kaida-palooza/ccpoke/blob/main/LICENSE","",""
"res_matrix_comms","matrix-comms","Matrix Comms","nicdavidson/matrix-comms","nicdavidson/matrix-comms","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/nicdavidson/matrix-comms/blob/main/LICENSE","",""
"res_super_homunculus_bot","super-homunculus-bot","Super Homunculus Bot","jskjw157/super_homunculus_bot","jskjw157/super_homunculus_bot","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/jskjw157/super_homunculus_bot/blob/main/LICENSE","",""
"res_github_mcp_server","github-mcp-server","GitHub MCP Server","modelcontextprotocol/servers","modelcontextprotocol/servers","MIT","NOASSERTION","manual_review","github-license-api","LICENSE","https://github.com/modelcontextprotocol/servers/blob/main/LICENSE","","root-license-not-detected|license-not-detected|stored-license-mismatch|not-approved-for-open-code-automation"
"res_smolagents","smolagents","smolagents","huggingface/smolagents","huggingface/smolagents","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/huggingface/smolagents/blob/main/LICENSE","",""
"res_memori","memori","Memori","GibsonAI/memori","MemoriLabs/Memori","Apache-2.0","Apache-2.0","manual_review","root-license-file-fallback","LICENSE","https://github.com/MemoriLabs/Memori/blob/main/LICENSE","","repository-redirect"
"res_agent_skill_creator","agent-skill-creator","Agent Skill Creator","FrancyJGLisboa/agent-skill-creator","FrancyJGLisboa/agent-skill-creator","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/FrancyJGLisboa/agent-skill-creator/blob/main/LICENSE","",""
"res_gstack","gstack","GStack","garrytan/gstack","garrytan/gstack","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/garrytan/gstack/blob/main/LICENSE","",""
"res_ragflow","ragflow","ragflow","infiniflow/ragflow","infiniflow/ragflow","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/infiniflow/ragflow/blob/main/LICENSE","",""
"res_odysseus","odysseus","Odysseus","pewdiepie-archdaemon/odysseus","odysseus-dev/odysseus","MIT","AGPL-3.0","manual_review","github-license-api","LICENSE","https://github.com/odysseus-dev/odysseus/blob/dev/LICENSE","","stored-license-mismatch|repository-redirect"
